Team,conf,yes,no
IND,AFC,0.82,0.18
BUF,AFC,0.92,0.08
PIT,AFC,0.66,0.34
LAC,AFC,0.65,0.35
JAC,AFC,0.72,0.28
NE,AFC,0.59,0.41
DEN,AFC,0.7,0.3
CIN,AFC,0.16,0.84
HOU,AFC,0.54,0.46
KC,AFC,0.57,0.43
LV,AFC,0.04,0.96
BAL,AFC,0.44,0.56
MIA,AFC,0.07,0.93
CLE,AFC,0.08,0.92
TEN,AFC,0.02,0.98
NYJ,AFC,0.03,0.97
SF,NFC,0.77,0.23
TB,NFC,0.84,0.16
DET,NFC,0.8,0.2
PHI,NFC,0.78,0.22
GB,NFC,0.77,0.23
SEA,NFC,0.53,0.47
MIN,NFC,0.35,0.65
WAS,NFC,0.46,0.54
LAR,NFC,0.76,0.24
ATL,NFC,0.36,0.64
CHI,NFC,0.15,0.85
DAL,NFC,0.18,0.82
ARI,NFC,0.1,0.9
CAR,NFC,0.07,0.93
NYG,NFC,0.04,0.96
NO,NFC,0.05,0.95